,MTBF1_samples
0,141.23273097676548
1,130.0343002348737
2,63.60627035544734
3,97.82419908205534
4,78.28041701839706
5,114.99280242264503
6,119.29978164098158
7,149.11682069465664
8,84.14981502203808
9,77.06167796333102
10,99.78989993323536
11,142.57590567530997
12,89.8422115931761
13,86.73213782131269
14,84.3780295689355
15,58.21607172912933
16,111.19438137276639
17,90.94501851386087
18,62.68345968035685
19,48.85488356050482
20,108.01006865607623
21,67.55392316698904
22,104.74902985477567
23,66.92583981434123
24,54.15930202550505
25,105.8659797013989
26,70.34883242399854
27,141.94365195819245
28,120.0175318780745
29,69.49727154134071
30,106.516792371275
31,170.97635914646813
32,73.1165717060281
33,48.51276808552314
34,76.08600555528852
35,63.7292951268605
36,74.31064623565274
37,97.54383037291483
38,130.18524806904557
39,123.03393441832789
40,100.39847058719637
41,152.06003487238544
42,88.03701079087669
43,93.98652230101624
44,51.67722869885128
45,60.27430747883474
46,59.66242649014768
47,136.30700306918936
48,134.81174065693898
49,55.16497162198727
50,93.41693319314216
51,86.20698640926712
52,132.29997797506667
53,116.00553621969853
54,55.092761288976995
55,96.76505919003148
56,129.10997264815956
57,90.96038183263528
58,105.65507187722089
59,118.9571449888811
60,59.66422622968564
61,125.28799112267555
62,99.334166706335
63,61.39697551377644
64,66.28178977542127
65,94.69018686529837
66,74.9505969240198
67,93.76736650538227
68,91.39632809509995
69,37.71591184250134
70,85.78291220909644
71,85.95131074744602
72,58.51588564637013
73,53.271813865097315
74,124.92411424850633
75,105.07662829760828
76,83.08556543323888
77,60.34218240113822
78,74.26440155834008
79,99.81333087611702
80,56.41511049772698
81,84.28275943164208
82,212.15775031836773
83,202.76609009793427
84,99.85598828129368
85,99.82354717792062
86,70.04906019562155
87,63.782589446055006
88,102.34771367114232
89,97.12906897604029
90,129.06433785040323
91,53.71737390028845
92,88.63377277645422
93,43.564140400874
94,73.84083731621587
95,102.9012334577142
96,40.69194427049958
97,115.09217231523145
98,97.71116243813384
99,106.85159674165988
100,122.81758192873342
101,160.65731011266044
102,47.26793355260736
103,140.4935779671632
104,126.94429650067023
105,62.08279918397493
106,45.34363730807985
107,130.78713110646794
108,128.58364611997396
109,120.13442967230499
110,83.74360916551566
111,65.98468190383602
112,99.8722053032519
113,87.83841710990235
114,71.05774834651785
115,71.43101080668615
116,76.91961141052028
117,92.21976709563495
118,99.71703031478418
119,113.26914255102344
120,94.01503720067853
121,121.0181121610225
122,76.79883935054805
123,95.57849715192563
124,64.27495661861049
125,93.73876906400127
126,94.35435271027183
127,158.31633250008923
128,128.54025486994695
129,111.33382826233205
130,90.33176894991304
131,96.03395744183395
132,117.07277349639513
133,110.13521341006125
134,113.23340072703043
135,70.68510808454289
136,135.04344317451884
137,91.31350908244892
138,122.52904735987242
139,70.62124203974936
140,70.84319054180773
141,76.55591975493782
142,81.47022810767062
143,118.69445385165542
144,82.93835405549635
145,71.59191996286353
146,81.28222014400873
147,72.38279317922797
148,61.61057697397146
149,56.0311718168152
150,84.8364903847628
151,112.26515908009846
152,88.6200071708833
153,145.75421059601595
154,120.64510108052654
155,55.35509533895875
156,138.4904088111618
157,94.35369196093953
158,72.10049517069044
159,50.27821050601512
160,115.87784183820948
161,74.54844615015158
162,101.22923185827393
163,73.50707504991347
164,169.61068769470575
165,91.65638140727825
166,117.43134277123825
167,118.81813701881153
168,95.97689161283795
169,141.93684523658442
170,91.71054334038386
171,56.88770458856734
172,95.88791166868411
173,101.45767200087191
174,116.57250560796523
175,65.41852071103376
