,MTBF_samples
0,58.47484957102123
1,154.24582390146935
2,93.29731155334329
3,118.24584261460623
4,82.07070512292532
5,148.9550785153801
6,90.26113144719704
7,63.66586161827654
8,55.06010971597182
9,115.60396058104573
10,98.63916543022633
11,55.4491140690656
12,88.36562157346177
13,118.21369067908611
14,62.865322320717915
15,127.52767218149737
16,101.77427860431692
17,76.00938112311738
18,99.72745417414828
19,170.1368016661405
20,110.45661554253654
21,149.0563905251982
22,36.058698666246485
23,107.92036856444895
24,116.75783459284912
25,152.95624234862595
26,59.33033612174923
27,155.85159543610942
28,105.62436139784529
29,134.25899829408687
30,100.86716244584338
31,120.50221929731512
32,102.83524161466525
33,72.17095506775391
34,84.79382028096248
35,122.26023799456263
36,100.65507989653278
37,135.02667526417775
38,136.23825675959563
39,114.16574273635652
40,92.32993325855217
41,92.07898665484898
42,135.93238150136955
43,43.13306667486267
44,118.91686668429845
45,81.34277934169833
46,117.54268151007068
47,126.8752304521469
48,87.12486823854303
49,72.62387456560204
50,88.59106444229232
51,109.32943636441242
52,161.37926287536845
53,91.13463466864305
54,86.18120501459491
55,67.79427573835359
56,102.33503056072998
57,90.8350093904185
58,86.82843008949725
59,64.65044083156202
60,86.39527154372328
61,81.4238060814623
62,151.0711974176507
63,129.8867178131171
64,105.71171234494935
65,145.6922139669294
66,113.58464393342088
67,61.32213151305272
68,84.549721382559
69,69.65836329064187
70,73.12440803431068
71,20.546775178460695
72,94.07176577592585
73,115.43352452306081
74,80.52997244835174
75,128.4645877158503
76,116.78336535486119
77,68.21512297784435
78,106.62654211056619
79,121.82578801738732
80,133.5428645501899
81,127.8913386573033
82,61.10854504730129
83,67.08967533504078
84,73.31297823314716
85,118.09132369611066
86,61.34839033643341
87,93.9181515114839
88,140.37620416274865
89,83.20594716400235
90,104.71912382991806
91,157.31944170933653
92,109.11059630966895
93,72.55427500013637
94,91.37137448847503
95,119.15795186235187
96,94.58006202756253
97,119.69017842134338
98,107.7110824745436
99,73.2387370669235
100,134.0421993181779
101,111.2869187456159
102,96.05464604461676
103,118.82505216024546
104,51.11414477999734
105,82.03003298342564
106,128.67199943695366
107,117.06228250362665
108,76.30701601438906
109,119.72290448782458
110,107.94148617368452
111,138.2308284816458
112,102.22920758565499
113,98.95848885068516
114,95.91297046485816
115,58.43772414427117
116,62.60067544811761
117,84.18009834871181
118,131.96737898206382
119,96.35364250156553
120,90.49232159305998
121,72.7847554537457
122,75.16051556871847
123,122.1091571598131
124,79.7181393878823
125,49.8826148980339
126,64.66977600440637
127,105.74258204306523
128,80.77709794448178
129,100.10465900538405
130,64.71608521416984
131,105.74547447985715
132,101.25336372213634
133,60.78529648866623
134,90.43726009539206
135,38.08158766664045
136,90.57841182434052
137,55.011931232487846
138,97.1913131212024
139,83.36638947614826
140,88.17512273534517
141,61.00380625049333
142,75.43968731098786
143,127.87295680558698
144,99.30311569031325
145,102.35090366040671
146,65.75819383303443
147,73.48974992603345
148,59.1090668965521
149,100.12312997032474
150,89.13080395560243
151,64.72657365608138
152,110.03767428233338
153,85.64509243046581
154,125.92925855172973
155,76.23862237860047
156,111.77534888246494
157,102.1164019201084
158,91.0191748810127
159,89.13290683005404
160,81.07633184605056
161,136.0683558396828
162,126.22047627667443
163,124.87990481452796
164,115.77115908621127
165,72.05924788628866
166,69.2233296407039
167,91.28164265042803
168,162.57386033801745
169,125.95261304638277
170,75.27269533798324
171,125.03881370808367
172,101.55053751114482
173,126.06041994147589
174,108.20477825965816
175,96.03165625410782
176,120.18469098246673
177,70.70853792797202
178,104.35407176000624
179,58.26179653946791
180,115.61427456851939
181,98.13417057516044
182,104.28161313026519
183,66.89635164132189
184,155.0974813674679
185,136.52597240047484
186,103.67117770345524
187,83.20035923110304
188,123.87001112265943
189,106.24627972653002
190,48.37020994504591
191,148.51441015795575
192,104.09673911696936
193,68.27039226252056
194,74.99572407065249
195,39.1437926847016
196,114.23524227657553
197,153.16605565403404
198,86.86053069835756
199,51.79837160741507
200,73.27134467989023
201,146.79643454783934
202,106.6399140717463
203,103.71814644215749
204,78.32133030027714
205,136.16498663526522
206,86.8542845030589
207,125.28149046659897
208,147.5006071281603
209,81.29968360558424
210,109.78108217735905
211,107.83010633121391
212,155.16230330161574
213,164.3361534179281
214,78.92289492520196
215,64.3952542001497
216,55.542331181641615
217,96.48645280773258
218,65.01602824610907
219,106.09375423357804
220,102.4282559910691
221,195.22630599711033
222,52.36836214335741
223,67.18934766369284
224,161.68207604128148
225,67.77210564232134
226,83.2908117772956
227,87.9918069599695
228,141.84223929202636
229,139.68029158679312
230,73.18613024421306
231,94.8134295597735
232,79.81919196886284
233,63.24351457940431
234,108.90641397758392
235,84.86827083925473
236,140.08930368182632
237,104.17144999949974
238,108.64716517530837
239,90.82997695153155
240,146.85007962367814
241,51.726284832089256
242,66.43595040230132
243,108.17756709926167
244,163.57636063845783
245,82.26779093306945
246,133.1193813832005
247,65.33418979269831
248,185.41619763006742
249,94.27898762863563
250,128.1690643152576
251,68.27549912998236
252,42.313955401042584
253,118.31410918776483
254,98.51149290477493
255,96.95808445177059
256,81.21537215227404
257,100.33357287082181
258,82.63024451519257
259,101.03572362473301
260,94.28702286577173
261,60.40367143310821
262,113.19210791865962
263,81.78866827716897
264,67.81479929520631
265,136.02881653294375
266,140.54981656546752
267,93.52064595849286
268,46.613996865080765
269,156.7229015821149
270,83.9211884789693
271,98.27696073036344
272,99.92874433784223
273,117.67948929139706
274,106.78243805136708
275,96.81835463968343
276,66.60606396466596
277,91.67536365583422
278,121.49563444851226
279,85.12965271042918
280,101.15857234236638
281,99.63778106556651
282,99.94084977922384
283,83.80364129214908
284,81.63402973315036
285,102.7906738487919
286,138.52951484835077
287,78.08736384816892
288,122.75580281395803
289,139.37092810473266
290,80.88360200787233
291,142.6163034164236
292,30.683271561900835
293,59.49996382682573
294,63.69992835463601
295,79.27161643544657
296,134.50237726865296
297,85.50801582402343
298,74.60112872309045
299,104.51534185413121
300,80.16826822650083
301,98.57954094925486
302,89.09727306784625
303,87.20121174757321
304,135.22238746383
305,116.4580569089245
306,52.315423773441125
307,134.15210288523394
308,53.0379674683068
309,106.77017622098788
310,155.75274379608638
311,89.66666214412797
312,80.01089467978935
313,124.16309249464614
314,89.77968581047189
315,114.72892461022289
316,48.85089030966927
317,122.93923628128555
318,92.5909630781349
319,53.76750020115795
320,58.652068845318055
321,97.48749832134686
322,136.58913885392118
323,108.74310275519058
324,100.90709883877805
325,64.93378540315089
326,45.461673816314345
327,106.7003766788279
328,159.07333267295834
329,94.9082425393922
330,80.7042318238892
331,91.92650878485242
332,100.23927132352698
333,124.35665094110273
334,80.44435472407982
335,56.50868127453316
336,84.71775595600288
337,152.56582884835305
338,99.96702328890827
339,72.29598665903845
340,56.06926778837576
341,81.49714839127915
342,67.24939217275724
343,118.59171254255504
344,94.81789106207334
345,96.43261586338858
346,95.32108063231469
347,75.22314509955315
348,104.51955530641325
349,44.07383229698128
350,93.55248948064505
351,70.77687476680298
352,95.34912107024401
353,99.40005332555502
354,97.27480408548834
355,138.80011816960595
356,77.19135738205294
357,127.41852201736825
358,119.96508064222226
359,102.6243604269612
360,86.0627354088895
361,92.34059909315457
362,80.17587213449492
363,172.5375007930776
364,78.85973723854298
365,76.40922392674976
366,69.51915400946424
367,76.04046441261725
368,94.09658493475368
369,120.95110255388047
370,105.10754017275902
371,244.03008672077203
372,152.90354856033508
373,139.1357822603742
374,85.81229981645183
375,116.86055884139398
376,139.15028008675534
377,69.90733710796924
378,109.63530141326844
379,167.42142219246387
380,71.10672288545928
381,109.73873293258275
382,81.28442704732255
383,69.27981313714517
384,121.08030233651493
385,76.21726531581253
386,116.28230581570578
387,144.44455449968888
388,150.49830554440072
389,82.71257575016246
390,115.30297168187437
391,86.05993187601477
392,140.70098372673306
393,112.64175755306215
394,115.57239047865362
395,106.86238377216031
396,77.85868422153735
397,163.43759511147985
398,152.06457573513785
399,83.51026539899529
400,86.55962669433701
401,84.7386972935694
402,164.3038142928914
403,53.237069454591015
404,64.1804168892545
405,80.11066467017078
406,134.01443797195967
407,132.47233595488836
408,60.15270361053323
409,95.99549647354932
410,104.05042786857737
411,89.50528521298024
412,75.91482890153407
413,89.02300042296535
414,79.17041519596577
415,84.89306087467547
416,150.94323369655615
417,168.64407876401447
418,67.46891489405746
419,72.0712432591428
420,74.99602233581693
421,108.32871965284774
422,149.62823379771032
423,177.01163960050502
424,148.3250858985969
425,122.30069484603584
426,132.61377885395956
427,119.70263872626506
428,62.72245726448919
429,93.17368828983908
430,121.67282417829567
431,98.61442750225959
432,67.6068816818581
433,119.28912370933037
434,102.10263992467671
435,99.64426425993828
436,134.68843162884332
437,64.99251902152952
438,147.9945125419589
439,182.669308434887
440,112.47043618026035
441,118.95675750294416
442,66.14507300613428
443,67.37140465400978
444,105.67456950904516
445,61.89414740382499
446,72.75697463337437
447,95.91890457317801
448,102.71973707659234
449,67.64751573524833
450,53.633975273023125
451,103.05098442510909
452,136.13880800582064
453,98.85156733976189
454,100.30938430052588
455,80.71760713475173
456,65.80747245071585
457,59.668052021295196
458,144.3879033307765
459,78.01775192233119
460,109.57226821642261
461,70.72098310877466
462,77.2258253223038
463,110.26664551306689
464,105.02299725589437
465,65.35195377840111
466,122.20785388520576
467,94.05676603175979
468,133.07174396654432
469,111.13624154056625
470,110.90407868126965
471,104.65364913707128
472,106.25277207633003
473,159.57291719731296
474,79.36029278749922
475,157.64593567894087
476,130.0648557750478
477,107.39350325494327
478,117.20591488099907
479,74.06172692008991
480,148.04149182667408
481,143.7805918659355
482,78.41429832954296
483,141.22222881403417
484,120.24286510419729
485,69.38121406513442
486,75.2837070948826
487,114.9101865654859
488,122.97593966814107
489,72.64245143131143
490,93.78651571916217
491,67.83216473950971
492,107.85415354657705
493,117.9746366046405
494,73.86669128973675
495,91.47889967274912
496,102.49000368190111
497,96.72092070486148
498,61.83279945555429
499,68.51124005683349
500,86.97160271757782
501,139.57837049815936
502,56.595724155342396
503,49.115188563483564
504,54.66256149220023
505,73.62889801654964
506,119.35053207963135
507,67.12670926093338
508,55.166893879777795
509,114.84328995084475
510,85.08592725756613
511,131.37794136359213
512,121.28769243458476
513,85.93619931563964
514,66.77512944163674
515,74.73736503476391
516,110.57617538298919
517,132.5097326883437
518,64.72332368919797
519,93.64921735329256
520,108.03683103064577
521,84.14314126986325
522,207.22208935179887
523,99.59948996565484
524,121.7268706194894
525,109.04427673302152
526,114.4396502506883
527,68.30246102888724
528,106.05777876315187
529,83.85896281067356
530,67.19654063975545
531,81.71202047535388
532,67.19524973583938
533,86.8957032382372
534,144.5781460920095
535,100.4973056020095
536,163.9701807995245
537,101.52292337929208
538,74.2011999833563
539,146.86170670993747
540,145.4109143949618
541,103.80284918294714
542,114.99881629827125
543,156.84535853034777
544,87.65176637963897
545,130.29344495100975
546,98.8775415849673
547,86.24216391797185
548,102.5950802799302
549,92.37095677983874
550,96.62297363525465
551,184.5723958434361
552,94.4468868027534
553,91.6906760836134
554,171.1983158105969
555,144.98113894745308
556,99.40241804044987
557,176.46359638487866
558,92.8695794426927
559,130.3734176675612
560,115.38035616655418
561,149.6091415380761
562,96.86075632671
563,131.2517081145857
564,95.83392182817296
565,79.98607970714647
566,100.58215250031682
567,46.96724306671248
568,100.78057852821908
569,78.91999859445302
570,96.46155003514168
571,89.91438921481327
572,121.35560957963654
573,106.66981817290852
574,113.40301257554935
575,66.16504845549255
576,148.29431958697307
577,106.10697853686645
578,97.00901177184696
579,99.39941359832608
580,73.14881713457046
581,127.31717000727944
582,97.87996004630537
583,99.50651716967005
584,49.989825315057026
585,113.30997213716155
586,35.55582363991927
587,53.49402477173159
588,124.09871821031875
589,93.83181001490125
590,121.27507528037468
591,84.82631447308657
592,87.08845411200375
593,119.50639621893895
594,106.41438448085746
595,90.82908550413913
596,136.97995043761307
597,109.1334980827369
598,96.70456480773679
